ID,Rating,Total Ratings,Comments,Kickstarter,Rating Only,Comment Only
13,10,5128,1015,0,4113,1015
13,9,8365,1379,0,6986,1379
13,8,23647,3776,1,19871,3775
13,7,23106,3408,1,19698,3407
13,6,15790,2711,0,13079,2711
13,5,4984,925,0,4059,925
13,4,2286,553,0,1733,553
13,3,905,256,0,649,256
13,2,287,95,0,192,95
68448,10,5759,995,0,4764,995
68448,9,11725,1682,1,10043,1681
68448,8,27101,3760,0,23341,3760
68448,7,15083,1970,0,13113,1970
68448,6,6166,1045,0,5121,1045
68448,5,1571,361,0,1210,361
68448,4,683,180,0,503,180
68448,3,293,95,0,198,95
68448,2,135,32,0,103,32
68448,1,98,23,0,75,23
36218,10,6102,1213,0,4889,1213
36218,9,11119,1736,0,9383,1736
36218,8,23564,3341,0,20223,3341
36218,7,14879,2036,0,12843,2036
36218,6,7862,1345,0,6517,1345
36218,5,2510,500,0,2010,500
36218,4,1063,284,0,779,284
36218,3,491,136,0,355,136
36218,2,232,74,0,158,74
36218,1,133,25,0,108,25
9209,10,3352,638,0,2714,638
9209,9,6860,1193,0,5667,1193
9209,8,21180,3582,0,17598,3582
9209,7,16983,2417,0,14566,2417
9209,6,8286,1323,0,6963,1323
9209,5,2191,427,0,1764,427
9209,4,798,199,0,599,199
9209,3,323,89,0,234,89
9209,2,131,48,0,83,48
9209,1,73,20,0,53,20
31260,10,9499,1964,0,7535,1964
31260,9,12672,2180,1,10492,2179
31260,8,18025,2959,1,15066,2958
31260,7,8512,1368,0,7144,1368
31260,6,4657,960,0,3697,960
31260,5,1510,328,0,1182,328
31260,4,890,236,0,654,236
31260,3,465,130,0,335,130
31260,2,307,98,0,209,98
31260,1,278,54,0,224,54
3076,10,8025,1713,0,6312,1713
3076,9,12580,2238,0,10342,2238
3076,8,20039,3079,0,16960,3079
3076,7,9239,1405,0,7834,1405
3076,6,4120,811,0,3309,811
3076,5,1140,269,0,871,269
3076,4,508,129,0,379,129
3076,3,292,98,0,194,98
3076,2,155,42,0,113,42
3076,1,165,39,0,126,39
40692,10,1965,309,0,1656,309
40692,9,5156,745,0,4411,745
40692,8,18934,2555,2,16379,2553
40692,7,15116,1820,0,13296,1820
40692,6,8249,1214,0,7035,1214
40692,5,2336,393,0,1943,393
40692,4,940,210,0,730,210
40692,3,396,100,0,296,100
40692,2,166,44,0,122,44
40692,1,87,16,0,71,16
178900,10,3827,525,0,3302,525
178900,9,8156,1005,0,7151,1005
178900,8,19784,2218,0,17566,2218
178900,7,11534,1176,0,10358,1176
178900,6,5119,608,0,4511,608
178900,5,1252,181,0,1071,181
178900,4,508,93,0,415,93
178900,3,234,47,0,187,47
178900,2,102,27,0,75,27
178900,1,87,19,0,68,19
2651,10,5053,1129,0,3924,1129
2651,9,10099,1835,0,8264,1835
2651,8,19280,2859,0,16421,2859
2651,7,9108,1289,0,7819,1289
2651,6,4070,718,0,3352,718
2651,5,1123,245,0,878,245
2651,4,555,165,0,390,165
2651,3,267,81,0,186,81
2651,2,123,38,0,85,38
2651,1,108,25,0,83,25
70323,10,1767,304,0,1463,304
70323,9,4471,706,1,3765,705
70323,8,15822,2431,1,13391,2430
70323,7,14108,1838,0,12270,1838
70323,6,8209,1169,0,7040,1169
70323,5,2288,371,0,1917,371
70323,4,991,206,0,785,206
70323,3,367,70,0,297,70
70323,2,178,40,0,138,40
70323,1,72,21,0,51,21
14996,10,2385,368,0,2017,368
14996,9,5787,774,0,5013,774
14996,8,18843,2602,0,16241,2602
14996,7,12775,1665,0,11110,1665
14996,6,5456,777,0,4679,777
14996,5,1269,238,0,1031,238
14996,4,433,105,0,328,105
14996,3,161,39,0,122,39
14996,2,64,14,0,50,14
14996,1,51,7,0,44,7
129622,10,2051,349,0,1702,349
129622,9,4492,686,0,3806,686
129622,8,14628,2092,0,12536,2092
129622,7,13936,1811,1,12125,1810
129622,6,7985,1108,0,6877,1108
129622,5,2120,369,0,1751,369
129622,4,883,169,0,714,169
129622,3,347,92,0,255,92
129622,2,152,44,0,108,44
129622,1,92,23,0,69,23
148228,10,2299,343,0,1956,343
148228,9,5429,741,0,4688,741
148228,8,16793,2084,0,14709,2084
148228,7,11767,1291,0,10476,1291
148228,6,5761,766,0,4995,766
148228,5,1619,265,0,1354,265
148228,4,653,145,0,508,145
148228,3,257,70,0,187,70
148228,2,109,27,0,82,27
148228,1,71,15,0,56,15
478,10,1064,235,0,829,235
478,9,3016,520,1,2496,519
478,8,13411,2389,0,11022,2389
478,7,14151,2238,0,11913,2238
478,6,8416,1573,0,6843,1573
478,5,2127,473,0,1654,473
478,4,884,266,0,618,266
478,3,309,104,0,205,104
478,2,187,71,0,116,71
478,1,60,19,0,41,19
39856,10,2037,340,0,1697,340
39856,9,4177,638,0,3539,638
39856,8,13521,1902,0,11619,1902
39856,7,11537,1501,1,10036,1500
39856,6,6784,952,0,5832,952
39856,5,1780,245,0,1535,245
39856,4,825,141,0,684,141
39856,3,318,62,0,256,62
39856,2,163,39,0,124,39
39856,1,104,17,0,87,17
28143,10,4765,1304,0,3461,1304
28143,9,7275,1480,0,5795,1480
28143,8,13959,2253,0,11706,2253
28143,7,7694,1097,0,6597,1097
28143,6,4080,757,0,3323,757
28143,5,1379,299,0,1080,299
28143,4,675,191,0,484,191
28143,3,346,79,0,267,79
28143,2,179,59,0,120,59
28143,1,107,19,0,88,19
173346,10,4289,558,0,3731,558
173346,9,9956,1194,1,8762,1193
173346,8,17111,1917,0,15194,1917
173346,7,6014,656,1,5358,655
173346,6,2087,284,0,1803,284
173346,5,493,90,0,403,90
173346,4,188,36,0,152,36
173346,3,92,20,0,72,20
173346,2,61,18,0,43,18
173346,1,56,10,0,46,10
169786,10,7996,1242,33,6754,1209
169786,9,10875,1227,56,9648,1171
169786,8,11868,1295,46,10573,1249
169786,7,4528,480,16,4048,464
169786,6,2397,405,12,1992,393
169786,5,762,183,4,579,179
169786,4,372,91,0,281,91
169786,3,189,63,0,126,63
169786,2,95,34,0,61,34
169786,1,141,32,0,109,32
110327,10,2924,484,0,2440,484
110327,9,6526,946,0,5580,946
110327,8,15856,2209,1,13647,2208
110327,7,7982,1045,0,6937,1045
110327,6,3472,566,0,2906,566
110327,5,949,216,0,733,216
110327,4,429,112,0,317,112
110327,3,156,49,0,107,49
110327,2,73,27,0,46,27
110327,1,52,13,0,39,13
167791,10,8390,1186,1,7204,1185
167791,9,11459,1277,0,10182,1277
167791,8,11561,1218,1,10343,1217
167791,7,3885,484,1,3401,483
167791,6,1839,350,0,1489,350
167791,5,572,148,0,424,148
167791,4,316,96,0,220,96
167791,3,186,62,0,124,62
167791,2,95,44,0,51,44
